mode,name,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile18.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1905)",42.509901,0.0,0.000687984124108856,249.287109375,322343,3677657,8.058575
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile19.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2254)",111.2944645,0.0,0.001055786364957882,206.91015625,1054632,2945368,26.3658
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile2.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile20.tif","(2000, 2000)",uint16,"(0, 65535)","(170, 2823)",455.01741925,416.0,0.001983904909250478,610.439453125,419731,3580269,10.493275
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile21.tif","(2000, 2000)",uint16,"(0, 65535)","(105, 3029)",460.09266375,445.0,0.001981781983373462,647.5390625,298777,3701223,7.469425
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile22.tif","(2000, 2000)",uint16,"(0, 65535)","(116, 3195)",453.30979425,442.0,0.0019499644814383306,651.216796875,287841,3712159,7.196025000000001
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile23.tif","(2000, 2000)",uint16,"(0, 65535)","(86, 4095)",498.771724,485.0,0.002102107680414972,532.314453125,1563023,2436977,39.075575
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile24.tif","(2000, 2000)",uint16,"(0, 65535)","(230, 4095)",653.22556925,614.0,0.0024220420599383717,916.943359375,257434,3742566,6.43585
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile25.tif","(2000, 2000)",uint16,"(0, 65535)","(265, 4095)",665.89928025,630.0,0.0024638985458549077,870.91796875,345593,3654407,8.639825
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile26.tif","(2000, 2000)",uint16,"(0, 65535)","(103, 4095)",705.1546655,684.0,0.0025948627826165604,781.328125,1216326,2783674,30.40815
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile27.tif","(2000, 2000)",uint16,"(0, 65535)","(121, 4095)",747.162519,723.0,0.0026889974309615935,967.02734375,459250,3540750,11.48125
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile28.tif","(2000, 2000)",uint16,"(0, 65535)","(220, 4095)",614.1182025,578.0,0.0022727086723569718,817.900390625,392040,3607960,9.801
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile29.tif","(2000, 2000)",uint16,"(0, 65535)","(46, 4095)",600.4252815,554.0,0.002359165380854176,654.931640625,1737766,2262234,43.44415
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile3.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile30.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 308)",48.66356425,0.0,0.0004415774239298982,73.9921875,1314058,2685942,32.85145
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile31.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 275)",5.79958225,0.0,0.00017142340897066487,75.732421875,151997,3848003,3.799925
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile32.tif","(2000, 2000)",uint16,"(0, 65535)","(36, 769)",135.0444735,133.0,0.0006683770664787337,137.646484375,1562420,2437580,39.0605
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile33.tif","(2000, 2000)",uint16,"(0, 65535)","(58, 3773)",482.709678,487.0,0.002010404962073568,457.072265625,2242147,1757853,56.053675000000005
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile34.tif","(2000, 2000)",uint16,"(0, 65535)","(151, 3941)",429.51926725,407.0,0.0019158055952979277,543.32421875,493699,3506301,12.342475
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile35.tif","(2000, 2000)",uint16,"(0, 65535)","(119, 3898)",425.3149265,406.0,0.0019212941536859338,539.708984375,447772,3552228,11.1943
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile36.tif","(2000, 2000)",uint16,"(0, 65535)","(168, 3874)",460.7218035,434.0,0.0020296106953968385,624.01171875,294588,3705412,7.3647
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile37.tif","(2000, 2000)",uint16,"(0, 65535)","(266, 2768)",504.4215,475.0,0.002098378734634489,652.05078125,343018,3656982,8.57545
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile38.tif","(2000, 2000)",uint16,"(0, 65535)","(165, 3048)",518.31746225,500.0,0.002145310125434195,688.669921875,323022,3676978,8.07555
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile39.tif","(2000, 2000)",uint16,"(0, 65535)","(208, 4095)",565.704948,536.0,0.002241963777289275,807.751953125,242970,3757030,6.07425
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile4.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2423)",4.1538405,0.0,0.00028436807633801855,4.732421875,28804,3971196,0.7201
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile40.tif","(2000, 2000)",uint16,"(0, 65535)","(205, 4095)",611.86010975,589.0,0.00236162978621854,714.04296875,729673,3270327,18.241825
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile41.tif","(2000, 2000)",uint16,"(0, 65535)","(202, 4095)",591.1849865,579.0,0.0023022495839671643,604.986328125,1663803,2336197,41.595075
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile42.tif","(2000, 2000)",uint16,"(0, 65535)","(104, 4095)",601.43746775,600.0,0.002315140994305426,595.080078125,2066710,1933290,51.66775
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile43.tif","(2000, 2000)",uint16,"(0, 65535)","(84, 4095)",538.58580325,538.0,0.0021479162620937665,530.537109375,2072418,1927582,51.810449999999996
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile44.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",391.572971,152.0,0.0018451048547874433,679.833984375,777000,3223000,19.425
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile45.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 288)",43.00395875,0.0,0.00041297082136561487,69.1875,1226602,2773398,30.66505
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile46.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 298)",33.709358,0.0,0.0003730767983858019,73.91796875,907478,3092522,22.68695
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile47.tif","(2000, 2000)",uint16,"(0, 65535)","(36, 3289)",142.17905125,133.0,0.0007201848143593907,664.998046875,19393,3980607,0.484825
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile48.tif","(2000, 2000)",uint16,"(0, 65535)","(10, 3650)",536.40766525,551.0,0.002124890773989976,401.015625,3194031,805969,79.850775
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile49.tif","(2000, 2000)",uint16,"(0, 65535)","(248, 3232)",516.27176475,498.0,0.0021161383241466835,580.203125,647478,3352522,16.18695
